id_etudiant,prenom,nom,age,ville,niveau,heures_etude,note_sql,note_python,salaire_stage
48,Youssouf,Bamba,-5,Cotonou,Intermédiaire,10.1,7.7,9.1,62065
346,Sekou,Konan,39,Lomé,Avancé,6.2,7.4,8.3,101097
285,Fatou,Diarra,30,Dakar,Intermédiaire,7.3,8.9,6.6,74551
222,Kadiatou,Sangare,32,Dakar,Intermédiaire,11.9,14.4,15.6,74777
14,Adama,Ouattara,31,Abidjan,Intermédiaire,7.4,3.6,5.3,59321
169,Coumba,Bamba,40,Bamako,Débutant,10.0,14.2,12.8,44754
224,Assitan,Barry,38,Lomé,Débutant,10.2,10.8,12.1,49889
190,Ramatoulaye,Sylla,41,Conakry,Avancé,10.4,12.3,12.1,120698
379,Modibo,Fofana,26,Ouagadougou,Avancé,5.6,7.0,8.5,109126
193,Sekou,Doumbia,27,Bamako,Avancé,7.3,8.5,6.0,118580
118,Youssouf,Barry,24,Dakar,Avancé,7.1,7.9,4.1,113641
233,Hawa,Diallo,37,Bamako,Débutant,8.1,9.3,9.3,60018
111,Souleymane,Kone,25,,Débutant,11.6,12.6,12.4,57829
148,Aminata,Keita,32,Abidjan,Intermédiaire,11.6,16.3,17.8,66495
321,Amadou,Sangare,20,Abidjan,Intermédiaire,8.9,8.0,6.9,67760
68,Djeneba,Bamba,20,Abidjan,Intermédiaire,5.1,8.6,9.4,67091
91,Ibrahim,Sow,32,Abidjan,Intermédiaire,8.2,9.8,10.6,59572
439,Fatou,Coulibaly,42,Dakar,Intermédiaire,11.4,14.0,13.5,80062
329,Assitan,Traore,22,Abidjan,Intermédiaire,11.1,9.9,10.3,78195
299,Amadou,Toure,23,Accra,Débutant,4.6,8.9,4.0,62377
67,Nafissatou,Doumbia,31,Cotonou,Débutant,6.6,3.9,3.8,57821
156,Mariam,Sylla,21,Dakar,Débutant,4.0,1.5,0.7,60574
261,Assitan,Konan,39,Lomé,Avancé,11.2,13.1,11.9,100066
312,Ousmane,Diarra,18,Bamako,Intermédiaire,9.3,8.6,9.2,60668
147,Amadou,Sangare,22,Dakar,Débutant,4.5,1.0,0.0,56031
466,Ramatoulaye,Yao,28,Cotonou,Débutant,7.1,9.4,6.7,54726
103,Moussa,Kone,36,Ouagadougou,Avancé,8.1,12.0,10.5,105031
424,Hawa,Diakite,26,Dakar,Débutant,8.9,10.4,14.1,68904
348,Fanta,Konan,31,Dakar,Débutant,8.8,7.4,7.3,55363
409,Assitan,Camara,28,Abidjan,Débutant,9.1,10.7,10.4,55376
32,Kadiatou,Coulibaly,30,Abidjan,Débutant,6.4,8.5,9.9,59040
491,Djeneba,Konan,37,Cotonou,Débutant,8.6,12.8,10.8,65985
35,Bakary,Sangare,37,Abidjan,Intermédiaire,8.9,9.5,10.3,78208
133,Sekou,Diarra,44,Accra,Débutant,7.3,9.0,8.6,60295
173,Awa,Sow,28,Accra,Débutant,11.3,8.7,11.7,35641
451,Hawa,Barry,34,Dakar,Intermédiaire,6.1,5.1,5.4,94234
143,Mariam,Coulibaly,37,Bamako,Débutant,9.2,10.8,11.2,38805
136,Fatou,Keita,39,Cotonou,Intermédiaire,5.2,,7.2,83202
434,Boubacar,Keita,38,Ouagadougou,Intermédiaire,0.0,4.6,4.6,63977
5,Adama,Coulibaly,36,  Bamako  ,Intermédiaire,13.0,12.9,12.4,83794
367,Salif,Sylla,37,Conakry,Avancé,7.7,9.5,12.5,126148
442,Bakary,Ouattara,25,Abidjan,Intermédiaire,9.2,,13.6,64503
332,Mariam,Ouattara,18,Cotonou,Débutant,6.8,11.8,10.1,59961
63,Moussa,Ouattara,25,Ouagadougou,Avancé,7.5,6.2,7.9,101761
225,Hawa,Yao,26,Bamako,Intermédiaire,8.2,12.8,10.1,66870
181,Lamine,Keita,32,Dakar,Avancé,10.1,14.4,14.2,108186
365,Ousmane,Sylla,-1,Dakar,Débutant,11.5,10.7,11.8,66691
369,Fanta,Bamba,27,Cotonou,Débutant,3.3,0.4,2.1,63254
66,Rokia,Bamba,22,Abidjan,Intermédiaire,5.6,6.6,10.0,75007
205,Bakary,Camara,18,Bamako,Avancé,8.2,13.0,10.5,113217
86,Nafissatou,Diarra,31,Abidjan,Débutant,6.0,8.2,5.5,50469
316,Fanta,Toure,24,Abidjan,Débutant,10.8,9.5,9.3,38928
496,Adama,Cisse,28,Lomé,Intermédiaire,9.5,7.1,6.8,46609
129,Youssouf,Sangare,39,Cotonou,Avancé,5.0,5.2,3.3,117314
6,Mariam,Sow,37,Dakar,Intermédiaire,6.6,7.1,7.9,64226
350,Fanta,Traore,33,Bamako,Intermédiaire,9.3,10.5,8.5,73379
335,Mariam,Bamba,19,,Débutant,7.1,5.0,10.3,39026
305,Kofi,Bamba,24,Abidjan,Intermédiaire,6.4,10.2,6.5,84789
340,Souleymane,Bamba,31,Abidjan,Débutant,7.4,4.5,4.0,52430
306,Ibrahim,Bamba,20,Dakar,Intermédiaire,8.3,6.3,9.9,61283
262,Modibo,Ouattara,43,Cotonou,Débutant,8.1,6.4,7.6,39841
18,Mariam,Traore,21,Dakar,Avancé,9.1,9.2,7.1,109677
214,Bineta,Konan,42,cotonou,Débutant,10.0,16.4,14.5,53291
243,Awa,Sow,44,Dakar,Intermédiaire,3.8,,0.0,73497
479,Awa,Diakite,41,Dakar,Débutant,7.2,5.8,6.9,45192
364,Ousmane,Diarra,18,Dakar,Débutant,7.0,7.4,8.9,48699
381,Moussa,Kone,38,Bamako,Débutant,7.5,,7.1,59496
234,Fatou,Konan,42,Abidjan,Avancé,13.1,12.3,12.1,105024
120,Oumou,Sylla,21,Conakry,Débutant,12.0,13.9,12.7,29135
290,Boubacar,Diallo,18,Cotonou,Avancé,12.2,12.6,11.8,114876
166,Awa,Diakite,23,Bamako,Avancé,11.3,11.4,11.8,101631
415,Fatou,Keita,19,Dakar,Intermédiaire,5.3,6.4,5.5,96841
188,Djeneba,Diarra,21,  Abidjan  ,Avancé,11.3,15.1,13.6,115827
387,Fanta,Keita,29,abidjan,Débutant,14.2,12.7,9.9,47373
30,Boubacar,Ouattara,29,Conakry,Intermédiaire,9.5,11.2,10.2,85743
489,Bineta,Konan,36,Accra,Débutant,13.4,15.9,15.3,42188
473,Awa,Konan,25,Abidjan,Avancé,3.2,4.3,6.3,110226
209,Amadou,Sylla,43,Abidjan,Débutant,10.9,10.6,10.9,28229
445,Moussa,Yao,30,Abidjan,Intermédiaire,6.1,11.8,10.2,106521
161,Lamine,Ouattara,22,Bamako,Intermédiaire,9.5,10.1,8.6,84331
108,Rokia,Diallo,20,,Intermédiaire,9.3,12.0,13.9,63860
499,Sekou,Ouattara,43,Cotonou,Débutant,9.2,11.6,13.1,55169
345,Awa,Coulibaly,22,ABIDJAN,Débutant,4.3,4.5,5.7,31562
480,Mariam,Cisse,39,Bamako,Intermédiaire,2.0,0.0,0.0,81962
301,Ibrahim,Diallo,21,Accra,Intermédiaire,7.9,12.0,9.5,65320
393,Nafissatou,Barry,31,Abidjan,Intermédiaire,4.3,7.2,6.6,81715
344,Bineta,Diakite,37,DAKAR,Intermédiaire,12.8,9.0,14.0,76755
453,Rokia,Sow,38,Abidjan,Intermédiaire,10.4,13.7,10.9,58108
291,Kadiatou,Barry,31,Lomé,Avancé,7.7,11.3,8.2,121819
219,Ibrahim,Diakite,25,Lomé,Avancé,7.6,10.4,8.8,111034
294,Lamine,Kone,35,Abidjan,Débutant,8.7,8.0,7.1,44717
331,Fatou,Barry,36,Accra,Débutant,4.7,3.7,3.5,51399
259,Oumou,Camara,34,Cotonou,Avancé,7.0,9.4,11.1,108357
435,Hawa,Diakite,27,  Abidjan  ,Avancé,10.0,7.4,9.5,113476
7,Bakary,Sangare,18,abidjan,Intermédiaire,6.2,8.8,6.2,88765
431,Amadou,Sangare,43,Abidjan,Avancé,7.4,6.8,8.8,130153
12,Lamine,Camara,18,Accra,Débutant,11.7,16.3,15.0,49642
429,Coumba,Kone,42,Abidjan,Débutant,7.4,7.1,6.0,53111
93,Bineta,Camara,42,Conakry,Débutant,9.5,11.8,11.2,55964
226,Hawa,Cisse,27,Dakar,Débutant,3.2,0.4,3.1,58233
412,Sekou,Diallo,43,Accra,Débutant,7.8,4.8,,37210
330,Ousmane,Keita,20,Ouagadougou,Avancé,11.4,7.8,9.4,126536
447,Modibo,Diarra,38,Bamako,Intermédiaire,10.9,8.4,9.4,77429
43,Ramatoulaye,Barry,41,Ouagadougou,Intermédiaire,8.6,10.0,11.3,96248
59,Boubacar,Camara,20,Accra,Intermédiaire,9.9,11.3,13.8,65266
455,Ibrahim,Traore,31,dakar,Débutant,11.6,11.9,12.5,30245
79,Bakary,Diallo,27,Cotonou,Intermédiaire,8.9,8.2,9.0,65142
484,Youssouf,Traore,18,Abidjan,Intermédiaire,8.8,15.0,11.9,60763
180,Djeneba,Bamba,18,Abidjan,Intermédiaire,8.6,10.7,8.5,98079
428,Salif,Doumbia,22,Cotonou,Débutant,8.3,10.5,8.9,53631
102,Hawa,Diakite,25,Cotonou,Intermédiaire,4.8,,1.9,79578
165,Aminata,Yao,25,Lomé,Débutant,9.9,15.3,12.7,40837
248,Ousmane,Fofana,44,Dakar,Intermédiaire,3.6,4.4,7.1,69494
460,Oumou,Ouattara,36,,Débutant,5.4,3.5,5.3,46797
160,Fanta,Diakite,44,Dakar,Avancé,6.0,4.7,3.8,113326
400,Bakary,Doumbia,26,Dakar,Avancé,9.4,11.6,10.1,96672
443,Fanta,Sylla,19,Conakry,Avancé,5.1,4.8,3.9,123626
342,Lamine,Traore,33,Abidjan,Avancé,5.6,6.4,5.6,108037
19,Oumou,Diakite,30,Abidjan,Intermédiaire,10.7,6.9,,81405
41,Bineta,Camara,28,Ouagadougou,Intermédiaire,5.8,6.5,6.5,66846
269,Sekou,Sow,26,Lomé,Intermédiaire,8.8,10.8,11.7,75347
198,Hawa,Barry,36,Accra,Intermédiaire,3.2,4.2,,73779
459,Aminata,Sylla,18,Conakry,Débutant,7.9,8.5,9.4,29222
42,Ramatoulaye,Sangare,32,  Conakry  ,Débutant,5.6,7.9,4.9,39338
202,Cheikh,Konan,39,Ouagadougou,Avancé,13.1,17.1,17.2,96520
292,Djeneba,Fofana,36,,Avancé,8.1,10.1,11.9,114809
327,Assitan,Cisse,42,  Dakar  ,Débutant,11.9,12.4,10.8,46281
296,Lamine,Sangare,39,Conakry,Intermédiaire,8.9,,9.9,60770
250,Aminata,Sylla,39,Abidjan,Intermédiaire,5.7,3.8,5.4,66148
174,Aminata,Camara,29,Lomé,Avancé,7.6,11.9,7.8,96842
81,Youssouf,Diarra,35,Lomé,Avancé,6.7,2.9,3.8,121948
47,Hawa,Diakite,34,Dakar,Avancé,9.3,10.8,8.9,110713
247,Amadou,Barry,29,Conakry,Avancé,8.2,7.4,5.7,114644
94,Moussa,Traore,34,Dakar,Débutant,5.5,,6.0,43657
395,Nafissatou,Konan,34,Dakar,Intermédiaire,6.6,5.9,8.0,83875
82,Awa,Bamba,25,Dakar,Débutant,11.4,14.3,14.6,58946
307,Coumba,Konan,27,,Débutant,8.5,5.4,,66088
239,Souleymane,Fofana,24,Conakry,Débutant,6.2,7.8,9.9,31689
498,Fanta,Sangare,150,Dakar,Avancé,16.3,18.0,19.7,119567
341,Nafissatou,Doumbia,28,Cotonou,Intermédiaire,2.9,2.8,3.1,59673
383,Mariam,Cisse,20,Lomé,Avancé,2.1,3.3,3.5,128555
430,Mariam,Fofana,23,ABIDJAN,Avancé,7.5,,8.5,91104
140,Adama,Sow,21,Conakry,Débutant,12.6,11.9,13.5,48498
107,Mariam,Diallo,23,CONAKRY,Intermédiaire,4.8,3.2,5.5,66890
347,Ramatoulaye,Traore,38,Bamako,Avancé,7.9,4.6,10.4,109359
293,Ibrahim,Sylla,32,  Dakar  ,Avancé,10.1,,11.9,107975
208,Sekou,Yao,38,Bamako,Avancé,8.7,9.3,10.9,108185
323,Salif,Diallo,40,Bamako,Débutant,7.6,5.5,4.6,45481
389,Souleymane,Barry,34,Conakry,Avancé,0.4,1.4,2.0,119603
96,Bakary,Yao,32,Bamako,Intermédiaire,11.1,13.9,15.6,82442
123,Ramatoulaye,Traore,18,Conakry,Débutant,12.0,9.2,10.1,46400
163,Hawa,Coulibaly,28,Abidjan,Débutant,9.1,14.2,13.9,60652
24,Oumou,Fofana,35,Bamako,Intermédiaire,5.8,6.2,5.6,67432
14,Adama,Ouattara,31,Abidjan,Intermédiaire,7.4,3.6,5.3,59321
62,Nafissatou,Keita,39,Bamako,Débutant,5.8,7.3,8.9,47725
423,Rokia,Doumbia,21,Bamako,Intermédiaire,7.8,7.5,11.3,67684
40,Amadou,Yao,26,Abidjan,Avancé,11.5,16.6,15.9,103617
437,Ramatoulaye,Bamba,38,Dakar,Intermédiaire,7.9,10.7,8.2,78557
237,Amadou,Sangare,23,  Bamako  ,Avancé,5.8,3.5,2.8,92289
375,Fatou,Kone,37,Ouagadougou,Avancé,9.9,7.5,11.6,120095
218,Boubacar,Diarra,36,Abidjan,Intermédiaire,12.1,13.4,14.3,55311
99,Kadiatou,Keita,31,Lomé,Débutant,5.1,6.1,7.2,46609
257,Amadou,Ouattara,41,Conakry,Intermédiaire,8.6,7.8,6.0,75079
251,Fatou,Doumbia,41,Abidjan,Intermédiaire,9.0,8.0,7.8,76811
359,Kadiatou,Diarra,33,Abidjan,Intermédiaire,7.2,3.0,6.8,88935
384,Assitan,Sow,37,Abidjan,Avancé,10.2,14.7,13.4,112242
